Sensor,Pressao,Wavelet,Status_IA
ESP_01,5.696853,-0.4927,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.744673,-0.5266,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.735522,-0.5201,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.725682,-0.5131,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.716827,-0.5069,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.707677,-0.5004,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.701674,-0.4962,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.745756,-0.5273,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.738868,-0.5225,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.729422,-0.5158,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.71909,-0.5085,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.709939,-0.502,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.699707,-0.4948,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.749002,-0.5296,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.740147,-0.5234,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_04,0.0,3.5355,CRITICO: Queda de Press\u00e3o
ESP_01,5.728438,-0.5151,ALERTA: Instabilidade de Fluxo
ESP_05,0.0,3.5355,CRITICO: Queda de Press\u00e3o
