Sensor,Pressao,Wavelet,Status_IA,Target,Status_Sistema
ESP_01,6.040053,-0.7354,,0,NORMAL
ESP_04,6.211012,-0.8563,,0,NORMAL
ESP_01,6.030116,-0.7284,,0,NORMAL
ESP_04,6.201497,-0.8496,,0,NORMAL
ESP_01,6.064358,-0.7526,,0,NORMAL
ESP_04,6.193311,-0.8438,,0,NORMAL
ESP_01,6.059634,-0.7493,,0,NORMAL
ESP_04,6.184511,-0.8376,,0,NORMAL
ESP_01,6.052649,-0.7443,,0,NORMAL
ESP_04,6.181033,-0.8351,,0,NORMAL
ESP_01,6.045858,-0.7395,,0,NORMAL
ESP_04,6.220221,-0.8628,,0,NORMAL
ESP_01,6.041333,-0.7363,,0,NORMAL
ESP_04,6.187275,-0.8395,,0,NORMAL
ESP_01,6.032084,-0.7298,,0,NORMAL
ESP_04,6.204975,-0.852,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.195051,-0.845,,0,NORMAL
ESP_01,6.062782,-0.7515,,0,NORMAL
ESP_04,6.185945,-0.8386,,0,NORMAL
ESP_01,6.054321,-0.7455,,0,NORMAL
ESP_04,6.18134,-0.8353,,0,NORMAL
ESP_01,6.045564,-0.7393,,0,NORMAL
ESP_04,6.224314,-0.8657,,0,NORMAL
ESP_01,6.038676,-0.7345,,0,NORMAL
ESP_04,6.212752,-0.8575,,0,NORMAL
ESP_01,6.033363,-0.7307,,0,NORMAL
ESP_04,6.203953,-0.8513,,0,NORMAL
ESP_01,6.026376,-0.7258,,0,NORMAL
ESP_04,6.195869,-0.8456,,0,NORMAL
ESP_01,6.059831,-0.7494,,0,NORMAL
ESP_04,6.187172,-0.8395,,0,NORMAL
ESP_01,6.05806,-0.7482,,0,NORMAL
ESP_04,6.180624,-0.8348,,0,NORMAL
ESP_01,6.046744,-0.7402,,0,NORMAL
ESP_04,6.222473,-0.8644,,0,NORMAL
ESP_01,6.042218,-0.737,,0,NORMAL
ESP_04,6.213263,-0.8579,,0,NORMAL
ESP_01,6.033854,-0.731,,0,NORMAL
ESP_04,6.207227,-0.8536,,0,NORMAL
ESP_01,6.030017,-0.7283,,0,NORMAL
ESP_04,6.198325,-0.8473,,0,NORMAL
ESP_01,6.063373,-0.7519,,0,NORMAL
ESP_04,6.188297,-0.8403,,0,NORMAL
ESP_01,6.05442,-0.7456,,0,NORMAL
ESP_04,6.180624,-0.8348,,0,NORMAL
ESP_01,6.051271,-0.7434,,0,NORMAL
ESP_04,6.226564,-0.8673,,0,NORMAL
ESP_01,6.04025,-0.7356,,0,NORMAL
ESP_04,6.217254,-0.8607,,0,NORMAL
ESP_01,6.035528,-0.7322,,0,NORMAL
ESP_04,6.206101,-0.8528,,0,NORMAL
ESP_01,6.029722,-0.7281,,0,NORMAL
ESP_04,6.199245,-0.848,,0,NORMAL
ESP_01,6.06416,-0.7525,,0,NORMAL
ESP_04,6.189731,-0.8413,,0,NORMAL
ESP_01,6.058257,-0.7483,,0,NORMAL
ESP_04,6.180521,-0.8348,,0,NORMAL
ESP_01,6.04891,-0.7417,,0,NORMAL
ESP_04,6.226156,-0.867,,0,NORMAL
ESP_01,6.040644,-0.7358,,0,NORMAL
ESP_04,6.217867,-0.8612,,0,NORMAL
ESP_01,6.036512,-0.7329,,0,NORMAL
ESP_04,6.180829,-0.835,,0,NORMAL
ESP_01,6.029132,-0.7277,,0,NORMAL
ESP_04,6.199655,-0.8483,,0,NORMAL
ESP_01,6.068293,-0.7554,,0,NORMAL
ESP_04,6.190343,-0.8417,,0,NORMAL
ESP_01,6.05865,-0.7486,,0,NORMAL
ESP_04,6.18134,-0.8353,,0,NORMAL
ESP_01,6.052649,-0.7443,,0,NORMAL
ESP_04,6.227895,-0.8683,,0,NORMAL
ESP_01,6.043891,-0.7381,,0,NORMAL
ESP_04,6.217459,-0.8609,,0,NORMAL
ESP_01,6.037495,-0.7336,,0,NORMAL
ESP_04,6.209069,-0.8549,,0,NORMAL
ESP_01,6.028148,-0.727,,0,NORMAL
ESP_04,6.201087,-0.8493,,0,NORMAL
ESP_01,6.063865,-0.7523,,0,NORMAL
ESP_04,6.192083,-0.8429,,0,NORMAL
ESP_01,6.031592,-0.7294,,0,NORMAL
ESP_04,6.183386,-0.8368,,0,NORMAL
ESP_01,6.051074,-0.7432,,0,NORMAL
ESP_04,6.22636,-0.8672,,0,NORMAL
ESP_01,6.04399,-0.7382,,0,NORMAL
ESP_04,6.221347,-0.8636,,0,NORMAL
ESP_01,6.036807,-0.7331,,0,NORMAL
ESP_04,6.211524,-0.8567,,0,NORMAL
ESP_01,6.033067,-0.7305,,0,NORMAL
ESP_04,6.202929,-0.8506,,0,NORMAL
ESP_01,6.065144,-0.7532,,0,NORMAL
ESP_04,6.194027,-0.8443,,0,NORMAL
ESP_01,6.062782,-0.7515,,0,NORMAL
ESP_04,6.184307,-0.8374,,0,NORMAL
ESP_01,6.054714,-0.7458,,0,NORMAL
ESP_04,6.229328,-0.8693,,0,NORMAL
ESP_01,6.046744,-0.7402,,0,NORMAL
ESP_04,6.185945,-0.8386,,0,NORMAL
ESP_01,6.033854,-0.731,,0,NORMAL
ESP_04,6.212752,-0.8575,,0,NORMAL
ESP_01,6.033461,-0.7308,,0,NORMAL
ESP_04,6.203748,-0.8512,,0,NORMAL
ESP_01,6.067505,-0.7548,,0,NORMAL
ESP_04,6.195869,-0.8456,,0,NORMAL
ESP_01,6.060029,-0.7496,,0,NORMAL
ESP_04,6.186456,-0.839,,0,NORMAL
ESP_01,6.053239,-0.7448,,0,NORMAL
ESP_04,6.181033,-0.8351,,0,NORMAL
ESP_01,6.041824,-0.7367,,0,NORMAL
ESP_04,6.221756,-0.8639,,0,NORMAL
ESP_01,6.038578,-0.7344,,0,NORMAL
ESP_04,6.212547,-0.8574,,0,NORMAL
ESP_01,6.030903,-0.729,,0,NORMAL
ESP_04,6.205896,-0.8527,,0,NORMAL
ESP_01,6.026968,-0.7262,,0,NORMAL
ESP_04,6.196177,-0.8458,,0,NORMAL
ESP_01,6.061799,-0.7508,,0,NORMAL
ESP_04,6.187888,-0.84,,0,NORMAL
ESP_01,6.052747,-0.7444,,0,NORMAL
ESP_04,6.181135,-0.8352,,0,NORMAL
ESP_01,6.046449,-0.74,,0,NORMAL
ESP_04,6.224519,-0.8659,,0,NORMAL
ESP_01,6.040053,-0.7354,,0,NORMAL
ESP_04,6.214696,-0.8589,,0,NORMAL
ESP_01,6.033264,-0.7306,,0,NORMAL
ESP_04,6.206715,-0.8533,,0,NORMAL
ESP_01,6.026968,-0.7262,,0,NORMAL
ESP_04,6.198939,-0.8478,,0,NORMAL
ESP_01,6.028934,-0.7276,,0,NORMAL
ESP_04,6.189116,-0.8408,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.180726,-0.8349,,0,NORMAL
ESP_01,6.046647,-0.7401,,0,NORMAL
ESP_04,6.224314,-0.8657,,0,NORMAL
ESP_01,6.039857,-0.7353,,0,NORMAL
ESP_04,6.21705,-0.8606,,0,NORMAL
ESP_01,6.033461,-0.7308,,0,NORMAL
ESP_04,6.208455,-0.8545,,0,NORMAL
ESP_01,6.024803,-0.7246,,0,NORMAL
ESP_04,6.185432,-0.8382,,0,NORMAL
ESP_01,6.029525,-0.728,,0,NORMAL
ESP_04,6.190652,-0.8419,,0,NORMAL
ESP_01,6.05688,-0.7473,,0,NORMAL
ESP_04,6.181647,-0.8356,,0,NORMAL
ESP_01,6.05196,-0.7438,,0,NORMAL
ESP_04,6.226769,-0.8675,,0,NORMAL
ESP_01,6.044875,-0.7388,,0,NORMAL
ESP_04,6.218584,-0.8617,,0,NORMAL
ESP_01,6.036708,-0.7331,,0,NORMAL
ESP_04,6.209886,-0.8555,,0,NORMAL
ESP_01,6.02864,-0.7274,,0,NORMAL
ESP_04,6.199553,-0.8482,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.191879,-0.8428,,0,NORMAL
ESP_01,6.057961,-0.7481,,0,NORMAL
ESP_04,6.183693,-0.837,,0,NORMAL
